"ListingDate","SalesDate","ListPrice","SaleDollarCnt","ZestimateDollarCnt","BedroomCnt","BathroomCnt","FinishedSquareFeet","YearBuilt","MajorRemodelYear","StoryCnt","RoomTotalCnt","SFR","Latitude","Longitude","PageViews"
"2015-01-15","2015-01-30",740000,733000,667360,6,3,2730,1962,NA,1,NA,0,47675180,-122380500,625
"2015-02-03","2015-02-23",640000,709000,665863,3,2,2360,1951,NA,1,NA,1,47713350,-122367001,448
"2015-04-01",NA,2200000,NA,NA,2,2.5,2297,2003,2005,4,NA,1,47625667,-122323165,807
"2015-02-17",NA,1395000,NA,1380059,3,2.5,3460,1927,1995,2,NA,1,47635026,-122282850,71
"2015-02-17",NA,NA,NA,478471,1,1,871,2007,2007,1,NA,1,47613490,-122316710,129
"2015-01-23","2015-02-26",475000,562000,547182,3,2,2510,1925,NA,1,NA,1,47563820,-122365570,1540
"2015-04-06",NA,298000,NA,NA,1,1,618,2008,2008,1,NA,1,47615604,-122351699,136
"2015-01-28","2015-02-27",315000,330000,305831,1,1,612,2007,2007,6,NA,1,47613196,-122316615,652
"2015-01-31","2015-02-25",485000,522500,455433,4,3,2370,1977,NA,1,NA,1,47725764,-122306325,1143
"2015-01-11","2015-01-29",140000,135000,146222,1,1,647,1982,1982,3,4,1,47691392,-122308407,577
"2015-04-03",NA,NA,NA,NA,NA,NA,3118,1919,1980,2,NA,0,47663960,-122307110,279
"2015-03-05",NA,459000,NA,NA,4,2,2360,1925,NA,1,NA,1,47526134,-122375651,186
"2015-03-22",NA,299000,NA,NA,3,1,920,1941,NA,1,NA,1,47520390,-122284515,166
"2015-03-26",NA,310000,NA,NA,3,2,1520,2004,NA,3,NA,1,47716141,-122294777,344
"2015-01-21",NA,159900,NA,147778,1,1,744,1979,1979,4,NA,1,47696970,-122328238,238
"2015-01-28","2015-02-27",315000,330000,305831,1,1,612,2007,2007,6,NA,1,47613610,-122316720,638
"2015-03-18",NA,379950,NA,NA,2,3,1160,2007,NA,2,NA,1,47578781,-122314880,94
"2015-01-15","2015-02-06",725000,725000,279944,1,1,700,1949,NA,1,NA,1,47701635,-122340810,278
"2015-03-24",NA,480000,NA,NA,3,2.25,1150,1918,NA,1,NA,1,47522210,-122356830,417
"2015-01-06",NA,439000,NA,410765,3,2.25,3020,1994,NA,3,NA,1,47524707,-122318528,165
"2015-01-29","2015-02-27",399950,420000,351597,3,2,2080,1963,NA,1,NA,1,47532173,-122290092,710
"2015-03-04",NA,789000,NA,NA,3,2,1920,1926,2008,1,6,1,47560570,-122403680,109
"2015-03-26",NA,NA,NA,NA,2,1.75,1330,1918,NA,1,NA,1,47574980,-122409360,288
"2015-01-23","2015-02-27",615000,615000,532102,3,2,1780,1927,NA,1,NA,1,47569540,-122385835,999
"2015-04-02",NA,NA,NA,NA,2,1.5,960,2005,NA,2,NA,1,47606045,-122312446,213
"2015-02-25",NA,575000,NA,464128,2,1,910,1923,NA,1,NA,1,47681431,-122398982,219
"2015-03-17",NA,NA,NA,NA,1,1,738,2007,2007,1,NA,1,47615970,-122336110,297
"2015-03-27",NA,384950,NA,NA,1,1,603,2009,2009,1,NA,1,47617668,-122352402,564
"2015-03-28",NA,215000,NA,NA,2,1.5,670,1988,2003,4,NA,1,47692883,-122343147,276
"2015-01-11",NA,610000,NA,605125,5,3,2760,1958,NA,1,NA,1,47556055,-122379300,592
"2015-03-11",NA,350000,NA,NA,3,1.75,1960,1954,NA,1,NA,1,47543303,-122272645,221
"2015-01-09","2015-02-18",459950,459950,446958,2,3,1730,2008,NA,4,NA,1,47559243,-122285223,804
"2015-01-14","2015-01-23",650000,650000,594486,2,2,1450,1903,NA,2,NA,1,47657115,-122326470,1115
"2015-04-02",NA,269000,NA,NA,2,1.75,662,1990,1990,3,NA,1,47674687,-122374620,531
"2015-02-05","2015-02-27",325000,325000,450227,4,1,1640,1928,NA,2,NA,1,47701665,-122353575,528
"2015-03-20",NA,425000,NA,NA,1,1,641,2002,2002,1,NA,1,47614496,-122350692,182
"2015-03-28",NA,700000,NA,NA,NA,NA,3720,1969,1985,2,NA,0,47587463,-122313866,360
"2015-03-13",NA,250000,NA,NA,2,1,796,1953,1967,2,NA,1,47626290,-122360720,590
"2015-01-22","2015-02-27",749950,800000,392938,2,1,840,1920,NA,1,NA,1,47694290,-122345940,785
"2015-02-03",NA,NA,NA,332937,NA,1,537,2007,2007,1,NA,1,47615840,-122336221,18
"2015-01-14","2015-02-12",355000,367550,332279,2,2,1075,1979,1979,3,NA,1,47647530,-122374790,222
"2015-02-03","2015-02-13",189950,175000,172284,1,1,759,1969,1969,5,NA,1,47725476,-122349237,279
"2015-01-02","2015-02-20",889000,866500,400614,4,4,3080,1943,NA,2,NA,1,47566230,-122379163,243
"2015-01-14",NA,244900,NA,1073077,NA,NA,4320,1987,2000,2,NA,1,47696136,-122343231,16
"2015-03-31",NA,4000000,NA,NA,6,3,4940,1906,2007,3,NA,1,47628211,-122317138,1302
"2015-03-20",NA,425000,NA,NA,2,1,860,1952,NA,1,NA,1,47574515,-122394335,284
"2015-03-12",NA,525000,NA,NA,5,3,2980,1947,NA,1,NA,1,47719308,-122361336,71
"2015-01-11","2015-02-19",610000,600000,605125,5,3,2760,1958,NA,1,NA,1,47556058,-122379305,649
"2015-01-16",NA,540000,NA,514773,3,2,1730,1941,NA,1,NA,1,47697895,-122315835,192
"2015-01-29","2015-02-27",399950,420000,351597,3,2,2080,1963,NA,1,NA,1,47532280,-122289820,1039
"2015-01-16","2015-02-11",337500,337500,320464,1,1,926,1963,1985,11,NA,1,47624500,-122362590,403
"2015-01-20","2015-02-27",785000,785000,711778,4,2,1908,1978,1978,3,NA,1,47639910,-122278520,714
"2015-01-11",NA,610000,NA,605125,5,3,2760,1958,NA,1,NA,1,47556058,-122379305,437
"2015-03-24",NA,NA,NA,NA,3,1.5,1060,1975,NA,2,NA,1,47704250,-122342369,254
"2015-01-15",NA,NA,NA,1117935,3,3,1664,2002,2002,1,NA,1,47612644,-122329236,356
"2015-04-02",NA,269000,NA,NA,2,1.75,662,1990,1990,3,NA,1,47674774,-122375511,175
"2015-03-14",NA,535000,NA,NA,2,1.75,1240,1906,NA,1,NA,1,47668864,-122313825,351
"2015-02-25",NA,299950,NA,289404,1,1,887,1981,1981,3,5,1,47612810,-122312130,369
"2015-03-21",NA,1195000,NA,NA,NA,NA,6144,1982,1986,3,NA,0,47652618,-122353737,693
"2015-02-13",NA,119000,NA,268107,3,0.75,1460,1959,NA,2,NA,1,47523325,-122328035,433
"2015-03-26",NA,449950,NA,NA,4,2,2240,1926,NA,1,NA,1,47509620,-122250600,320
"2015-02-26",NA,650000,NA,719432,3,1.75,2070,1941,NA,2,NA,0,47617703,-122315785,1171
"2015-01-20",NA,NA,NA,890826,3,3.5,3350,2005,NA,2,NA,1,47583840,-122388579,23
"2015-04-03",NA,1499950,NA,NA,2,1,1010,1922,NA,1,NA,1,47595535,-122292055,1292
"2015-01-29","2015-02-24",480000,532500,484163,2,1,820,1924,NA,1,NA,1,47684243,-122348023,1349
"2015-04-06",NA,NA,NA,NA,4,3.5,2200,2003,NA,2,NA,1,47668170,-122401250,418
"2015-03-25",NA,498000,NA,NA,2,1,1360,1947,NA,1,NA,1,47684110,-122291249,436
"2015-03-30",NA,619000,NA,NA,3,2,2050,1956,NA,1,NA,1,47533725,-122267108,541
"2015-03-19",NA,1395000,NA,NA,2,3,2146,2007,2007,4,NA,1,47625400,-122347318,357
"2015-01-31","2015-02-25",485000,522500,455433,4,3,2370,1977,NA,1,NA,1,47725772,-122306327,980
"2015-03-05",NA,NA,NA,NA,4,3.25,2270,1912,1981,1,NA,0,47643420,-122367795,162
"2015-04-04",NA,925000,NA,NA,3,1,1702,1926,NA,2,NA,1,47586344,-122390025,646
"2015-01-07","2015-01-30",329950,330950,345046,3,3,1630,2003,NA,2,NA,1,47541450,-122288060,818
"2015-01-21","2015-01-29",949950,874000,847945,NA,NA,5558,1927,1977,2,NA,0,47618739,-122307185,753
"2015-01-15","2015-02-05",550000,490000,559802,3,3,1262,2000,2000,3,NA,1,47613373,-122313166,1968
"2015-03-25",NA,674000,NA,NA,2,1,576,1970,1970,1,6,1,47520763,-122260658,297
"2015-01-20","2015-02-26",259950,275000,260047,3,2,1530,1961,NA,1,NA,1,47510463,-122272933,1404
"2015-03-20",NA,635000,NA,NA,4,3,2100,1972,NA,2,NA,0,47679675,-122290581,508
"2015-04-04",NA,395000,NA,NA,3,2,1165,2000,NA,2,NA,1,47649452,-122383283,338
"2015-01-26","2015-02-06",489950,535000,503155,3,4,1930,2007,NA,3,NA,1,47671010,-122380500,1351
"2015-03-04",NA,940000,NA,NA,4,2.5,2780,2012,NA,2,NA,1,47573265,-122394360,407
"2015-03-12",NA,879000,NA,NA,4,2.5,2350,1923,NA,2,NA,1,47633930,-122305060,128
"2015-01-19",NA,600000,NA,727466,2,2,1103,2002,2002,1,NA,1,47612644,-122329236,733
"2015-03-19",NA,584950,NA,NA,3,1.75,1930,1956,NA,1,NA,1,47651260,-122374830,126
"2015-01-10","2015-02-27",1388000,1325000,1415676,3,4,3180,2008,NA,2,NA,1,47637718,-122341453,423
"2015-01-11","2015-02-19",610000,600000,605125,5,3,2760,1958,NA,1,NA,1,47556055,-122379300,983
"2015-03-26",NA,NA,NA,NA,NA,1,458,2000,2000,1,2,1,47619354,-122357132,424
"2015-03-28",NA,649000,NA,NA,1,1.5,910,2010,2010,31,NA,1,47612760,-122339330,734
"2015-02-04","2015-03-03",415000,436000,403893,3,3,1480,2008,NA,3,NA,1,47690988,-122341726,584
"2015-03-21",NA,639000,NA,NA,3,1.75,1080,1926,NA,1,NA,1,47650410,-122338120,407
"2015-01-15","2015-02-27",624990,705000,615015,4,2,2040,1937,2004,1,NA,1,47688464,-122323901,1242
"2015-04-03",NA,298800,NA,NA,1,1,803,2006,2006,1,NA,1,47559528,-122383796,226
"2015-03-04",NA,789000,NA,NA,3,2,1920,1926,2008,1,6,1,47562435,-122405834,310
"2015-02-24",NA,375000,NA,359244,2,1,700,1907,NA,1,NA,1,47689836,-122309740,219
"2015-04-05",NA,389500,NA,NA,2,1,970,1954,1995,1,NA,1,47539448,-122393708,450
"2015-03-23",NA,365000,NA,NA,2,1.5,909,1991,1991,2,NA,1,47651640,-122344830,218
"2015-01-19","2015-02-13",210000,221500,201643,1,1,734,1968,1968,4,NA,1,47653324,-122391098,408
"2015-02-14",NA,524950,NA,495083,3,1.5,2200,1942,NA,1,NA,1,47726235,-122363250,267
"2015-01-02","2015-01-30",384900,418500,348221,2,1,790,1943,NA,1,NA,1,47696950,-122360600,274
"2015-01-13","2015-02-17",428000,428000,286055,4,3,1950,1966,NA,1,NA,1,47543745,-122290610,349
"2015-03-05",NA,459000,NA,NA,4,2,2360,1925,NA,1,NA,1,47526397,-122375483,261
"2015-03-28",NA,525000,NA,NA,3,3,2440,1982,NA,2,NA,1,47715154,-122341730,413
"2015-02-25",NA,299950,NA,289404,1,1,887,1981,1981,3,5,1,47612701,-122311851,455
"2015-03-28",NA,700000,NA,NA,NA,NA,3720,1969,1985,2,NA,0,47586830,-122313770,341
"2015-03-17",NA,3125000,NA,NA,21,17.5,12580,2011,2010,3,NA,1,47581945,-122373505,1189
"2015-01-23","2015-02-23",560000,660000,543445,3,2,1770,1952,NA,1,NA,1,47723149,-122370775,935
"2015-01-09","2015-02-17",357500,357500,310473,3,1,950,1954,NA,1,NA,1,47502080,-122374400,193
"2015-03-24",NA,379500,NA,NA,3,1,1100,1952,NA,1,NA,1,47721905,-122353803,584
"2015-04-02",NA,NA,NA,NA,3,3,3990,2009,2009,3,NA,1,47634239,-122342667,452
"2015-03-12",NA,375000,NA,NA,2,1.5,1050,2005,NA,2,NA,1,47602812,-122316291,553
"2015-01-23","2015-02-27",1265000,1265000,1126628,3,2,2240,1941,NA,2,NA,1,47661380,-122269260,791
"2015-04-04",NA,850000,NA,NA,2,1,1720,1919,NA,2,NA,1,47677917,-122356722,296
"2015-02-23",NA,745000,NA,694292,5,3.75,2560,1918,NA,2,NA,0,47667243,-122318107,796
"2015-01-21",NA,1299000,NA,1206890,2,2,1633,2009,2009,4,NA,1,47629959,-122321808,492
"2015-03-03",NA,2195000,NA,NA,3,2.5,3030,1977,2002,2,NA,1,47744780,-122375030,1470
"2015-03-20",NA,660000,NA,NA,3,2.5,1578,1999,1999,3,NA,1,47653472,-122351073,503
"2015-03-18",NA,300000,NA,NA,1,1,660,1906,NA,1,NA,1,47565940,-122284220,207
"2015-03-28",NA,189000,NA,NA,0,1,439,2001,2001,6,1,1,47601374,-122327280,410
"2015-01-26","2015-03-05",370000,365000,341409,2,2,1310,2009,NA,2,NA,1,47592740,-122295390,629
"2015-02-12",NA,210000,NA,248436,1,1,480,1927,NA,1,NA,1,47544881,-122276220,325
"2015-04-03",NA,NA,NA,NA,4,1,1360,1913,NA,2,NA,1,47586593,-122311134,450
"2015-03-02",NA,1095000,NA,NA,3,2.5,2130,1990,NA,3,NA,1,47638971,-122349283,628
"2015-03-10",NA,465000,NA,NA,4,2,1690,1929,2006,2,13,1,47544515,-122375329,297
"2015-03-03",NA,515000,NA,NA,3,1,1560,1952,NA,1,NA,1,47726075,-122364041,683
"2015-03-25",NA,NA,NA,NA,1,2,845,1982,1990,33,NA,1,47611120,-122322980,472
"2015-03-07",NA,274000,NA,NA,2,1,895,1989,2003,4,NA,1,47541100,-122387160,573
"2015-02-15",NA,525000,NA,432476,2,2,1060,1970,1975,21,NA,1,47609287,-122329261,560
"2015-01-10","2015-02-11",345000,348000,359690,3,3,1490,2009,NA,3,NA,1,47723678,-122353244,974
"2015-01-14","2015-02-12",355000,367550,332279,2,2,1075,1979,1979,3,NA,1,47647240,-122374650,367
"2015-03-25",NA,NA,NA,NA,1,1,787,2007,2007,6,NA,1,47669819,-122387146,216
"2015-03-28",NA,600000,NA,NA,2,2,1280,1943,NA,1,NA,0,47670182,-122365823,680
"2015-01-17","2015-02-10",435000,443500,382169,2,1,940,1949,NA,1,NA,1,47704719,-122373130,657
"2015-02-04","2015-02-27",498000,529500,472092,2,1,900,1944,NA,1,NA,1,47657455,-122399772,723
"2015-03-12",NA,329000,NA,NA,2,2,1170,1990,1990,3,NA,1,47653080,-122374810,175
"2015-01-16","2015-02-27",575000,585000,567370,3,3,1990,2008,NA,3,NA,1,47602115,-122293498,380
"2015-03-13",NA,155500,NA,NA,2,1,1013,1982,1982,3,NA,1,47732189,-122347823,269
"2015-02-25",NA,759900,NA,732374,8,4,5306,1962,1984,2,NA,0,47594812,-122296199,438
"2015-03-31",NA,399999,NA,NA,2,1,1850,1900,2000,1,NA,1,47608311,-122303068,621
"2015-02-07","2015-02-24",789500,475000,444272,2,1,950,1904,NA,1,NA,1,47680480,-122373500,1402
"2015-03-18",NA,675000,NA,NA,3,1.5,1710,1909,NA,2,NA,1,47660347,-122323154,339
"2015-02-10","2015-02-26",189000,205000,199505,NA,1,442,2003,2003,1,NA,1,47670047,-122376830,684
"2015-03-28",NA,399950,NA,NA,3,1.5,1820,1953,NA,2,NA,1,47728119,-122312352,613
"2015-03-14",NA,399950,NA,NA,2,1.75,988,1979,1990,27,NA,1,47613899,-122344042,258
"2015-03-02",NA,450000,NA,NA,3,1,1090,1916,NA,2,NA,1,47697336,-122352281,406
"2015-01-08","2015-01-30",245000,230000,222231,NA,1,447,2001,2001,1,NA,1,47616798,-122352472,577
"2015-03-20",NA,200000,NA,NA,NA,1,442,2001,2001,6,NA,1,47601290,-122327560,280
"2015-01-11","2015-02-27",699000,680000,641112,2,2,1338,2005,2005,1,NA,1,47615987,-122351524,869
"2015-03-31",NA,559000,NA,NA,2,1,830,1946,2001,1,NA,1,47656040,-122351220,266
"2015-03-08",NA,600000,NA,NA,2,1,1470,1920,NA,2,NA,1,47712785,-122350606,482
"2015-01-26","2015-02-06",489950,535000,503155,3,4,1930,2007,NA,3,NA,1,47671125,-122380130,1006
"2015-02-04",NA,537000,NA,523355,3,2.5,1410,2010,NA,2,NA,1,47651260,-122375030,94
"2015-03-14",NA,535000,NA,NA,2,1.75,1240,1906,NA,1,NA,1,47668595,-122313946,646
"2015-02-25",NA,NA,NA,301168,1,1,600,2001,2005,1,NA,1,47615799,-122324153,6
"2015-03-25",NA,230000,NA,NA,2,2,1143,1979,1979,5,NA,1,47701121,-122323058,317
"2015-01-26",NA,355000,NA,397688,4,3,1830,1919,NA,1,NA,1,47572259,-122308659,777
"2015-01-30",NA,329000,NA,295571,3,1,1200,1928,NA,2,NA,1,47506510,-122249190,173
"2015-03-16",NA,434950,NA,NA,3,1,1230,1900,NA,1,NA,0,47596130,-122297610,90
"2015-03-26",NA,985000,NA,NA,4,2,2430,1980,NA,3,NA,1,47635070,-122285000,559
"2015-01-06","2015-02-27",639950,615000,626458,3,2,2660,1951,NA,1,NA,1,47699350,-122378410,584
"2015-04-03",NA,399950,NA,NA,3,2,1680,1910,NA,2,NA,1,47563495,-122289985,495
"2015-01-08","2015-02-06",424950,424950,407811,2,2,1000,2005,NA,3,NA,1,47682400,-122327160,1053
"2015-04-03",NA,370000,NA,NA,1,1,801,2008,2008,1,NA,1,47647233,-122324399,165
"2015-03-13",NA,NA,NA,NA,2,2,1180,1991,1992,5,NA,1,47640739,-122343022,13
"2015-02-27",NA,700000,NA,567615,3,1.5,1460,1940,NA,1,NA,1,47696310,-122397580,247
"2015-04-03",NA,1499950,NA,NA,2,1,1010,1922,NA,1,NA,1,47595535,-122292061,588
"2015-01-27","2015-02-26",699000,775000,636606,3,2,1700,1924,NA,2,NA,1,47678595,-122360165,536
"2015-03-06",NA,579900,NA,NA,3,1.5,1670,1926,NA,2,NA,1,47685240,-122361915,653
"2015-02-11",NA,380000,NA,386625,3,1.75,2030,1966,NA,1,NA,1,47554882,-122288481,554
"2015-03-19",NA,599000,NA,NA,4,1,1680,1922,NA,2,NA,1,47577834,-122293820,632
"2015-03-24",NA,379500,NA,NA,3,1,1100,1952,NA,1,NA,1,47721900,-122353800,244
"2015-01-06",NA,439000,NA,410765,3,2.25,3020,1994,NA,3,NA,1,47524995,-122318630,243
"2015-03-26",NA,950000,NA,NA,4,1.5,2100,1912,NA,2,NA,1,47649377,-122335332,620
"2015-04-04",NA,768800,NA,NA,3,1,1940,1903,1981,2,NA,1,47604705,-122294052,530
